article_id,brand,article_title,source_name,published_date,description,url,language,collected_at,topic,sentiment,mention_type,region,low_description_flag
Tesla_12,Tesla,"Trillions for War, Pennies for People: How Soaring Military Spending Fails Americans",Nakedcapitalism.com,2025-12-23 14:55:14+00:00,"Unpacking why the US military is so expensive and even if it were less pork-driven, would still be unduly costly for society at large.",https://www.nakedcapitalism.com/2025/12/trillions-for-war-pennies-for-people-how-soaring-military-spending-fails-americans.html,en,2025-12-24 19:59:41.141980,Technology,Negative,Secondary,Other,False
Tesla_13,Tesla,China’s electric vehicle influence expands nearly everywhere – except the US and Canada,Yahoo Entertainment,2025-12-23 14:35:24+00:00,"China is already producing a wide range of EVs, including several options that cost less than $25,000.",https://finance.yahoo.com/news/china-electric-vehicle-influence-expands-143524785.html,en,2025-12-24 19:59:41.141982,Product,Positive,Secondary,Other,False
Tesla_14,Tesla,"This strategist said gold would top $4,000 by year-end. He was right. Here’s what he foresees in 2026.",MarketWatch,2025-12-23 14:32:00+00:00,"On what’s looking like another record day for precious metals, Yardeni Research is now saying will reach $6,000 by the end of 2026.",https://www.marketwatch.com/story/golds-rush-for-records-has-inspired-a-new-high-bar-on-wall-street-for-2026-6f500c47,en,2025-12-24 19:59:41.141984,Technology,Positive,Secondary,Other,False
Tesla_15,Tesla,How Journalists Survived — and Even Thrived — as Trump’s War Against Media Escalated in 2025 | Analysis,TheWrap,2025-12-23 14:22:33+00:00,"Billion-dollar lawsuits and new press restrictions didn’t stop journalists from holding power to account as they navigated an unprecedented tsunami of news this year
The post How Journalists Survived — and Even Thrived — as Trump’s War Against Media Escalated…",https://www.thewrap.com/commentary-analysis/columns/donald-trump-media-2025/,en,2025-12-24 19:59:41.141986,Technology,Negative,Secondary,Other,False
Tesla_16,Tesla,The Top 5 Transportation Stories for 2025,Ieee.org,2025-12-23 14:00:02+00:00,"IEEE Spectrum’s transportation coverage this year covered breakthroughs in electric vehicles, batteries, charging, automation, aviation, maritime tech and more. Readers followed the race to rebuild U.S. magnet manufacturing, rethink EV-charging architecture, …",https://spectrum.ieee.org/top-ev-charging-stories-2025,en,2025-12-24 19:59:41.141988,Product,Positive,Secondary,Other,False
Tesla_17,Tesla,"One To Watch: Meet Quiet Club, And The Debut Watch That Offers A New Way Of Thinking About Time",HODINKEE,2025-12-23 14:00:00+00:00,"From Asakusa to the American West Coast, a cross-continental trio shapes a modern independent atelier.",https://www.hodinkee.com/articles/meet-quiet-club-and-the-debut-watch-that-offers-a-new-way-of-thinking-about-time,en,2025-12-24 19:59:41.141990,Other,Neutral,Secondary,Other,False
Tesla_18,Tesla,"LRN INVESTORS: Stride, Inc. Stock Drops 50% after Low Enrollments Announced – Contact BFA Law by January 12 Securities Class Action Deadline",GlobeNewswire,2025-12-23 13:36:00+00:00,"Stride, Inc. Stock Drops 50% after Low Enrollments Announced – Contact BFA Law by January 12 Securities Class Action Deadline...",https://www.globenewswire.com/news-release/2025/12/23/3209885/0/en/LRN-INVESTORS-Stride-Inc-Stock-Drops-50-after-Low-Enrollments-Announced-Contact-BFA-Law-by-January-12-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.141992,Finance,Neutral,Secondary,Other,False
Tesla_19,Tesla,"SNPS INVESTORS: Synopsys, Inc. Stock Drops 36% after IP Underperformance Announced – Contact BFA Law by December 30 Securities Class Action Deadline",GlobeNewswire,2025-12-23 13:36:00+00:00,"Synopsys, Inc. Stock Drops 36% after IP Underperformance Announced – Contact BFA Law by December 30 Securities Class Action Deadline...",https://www.globenewswire.com/news-release/2025/12/23/3209884/0/en/SNPS-INVESTORS-Synopsys-Inc-Stock-Drops-36-after-IP-Underperformance-Announced-Contact-BFA-Law-by-December-30-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.141994,Finance,Positive,Secondary,Other,False
Tesla_20,Tesla,"INSP INVESTORS: Inspire Medical Systems, Inc. Stock Drops 32% after Inspire V Delays Announced – Contact BFA Law by January 5 Securities Class Action Deadline",GlobeNewswire,2025-12-23 13:36:00+00:00,"Inspire Medical Systems, Inc. Stock Drops 32% after Inspire V Delays Announced – Contact BFA Law by January 5 Securities Class Action Deadline...",https://www.globenewswire.com/news-release/2025/12/23/3209882/0/en/INSP-INVESTORS-Inspire-Medical-Systems-Inc-Stock-Drops-32-after-Inspire-V-Delays-Announced-Contact-BFA-Law-by-January-5-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.141996,Finance,Positive,Secondary,Other,False
Tesla_21,Tesla,ITGR INVESTORS: Integer Holdings Corporation Stock Drops 32% after Weak Demand Announced – Contact BFA Law by February 9 Securities Class Action Deadline,GlobeNewswire,2025-12-23 13:36:00+00:00,Integer Holdings Corporation Stock Drops 32% after Weak Demand Announced – Contact BFA Law by February 9 Securities Class Action Deadline...,https://www.globenewswire.com/news-release/2025/12/23/3209881/0/en/ITGR-INVESTORS-Integer-Holdings-Corporation-Stock-Drops-32-after-Weak-Demand-Announced-Contact-BFA-Law-by-February-9-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.141998,Finance,Negative,Secondary,Other,False
Tesla_22,Tesla,"ARE INVESTORS: Alexandria Real Estate Equities, Inc. Stock Drops 19% after Impairment Charge Announced – Contact BFA Law by January 26 Securities Class Action Deadline",GlobeNewswire,2025-12-23 13:36:00+00:00,"Alexandria Real Estate Equities, Inc. Stock Drops 19% after Impairment Charge Announced – Contact BFA Law by January 26 Securities Class Action Deadline...",https://www.globenewswire.com/news-release/2025/12/23/3209880/0/en/ARE-INVESTORS-Alexandria-Real-Estate-Equities-Inc-Stock-Drops-19-after-Impairment-Charge-Announced-Contact-BFA-Law-by-January-26-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.142001,Technology,Positive,Secondary,Other,False
Tesla_23,Tesla,"KMX INVESTORS: CarMax, Inc. Stock Drops 24% after CEO Departure – Contact BFA Law by January 2 Securities Class Action Deadline",GlobeNewswire,2025-12-23 13:36:00+00:00,"CarMax, Inc. Stock Drops 24% after CEO Departure – Contact BFA Law by January 2 Securities Class Action Deadline...",https://www.globenewswire.com/news-release/2025/12/23/3209883/0/en/KMX-INVESTORS-CarMax-Inc-Stock-Drops-24-after-CEO-Departure-Contact-BFA-Law-by-January-2-Securities-Class-Action-Deadline.html,en,2025-12-24 19:59:41.142003,Finance,Positive,Secondary,Other,False
Tesla_24,Tesla,Elon's Stocking Stuffer: Tesla Owners Are Buying Escape Tools in Case EV Doors Trap Them in a Crash,Breitbart News,2025-12-23 13:30:51+00:00,A growing number of Tesla owners are purchasing escape tools due to fears of being trapped inside their cars as a result of malfunctioning doors. Elon Musk's EV giant is facing a  growing number of lawsuits and investigations over reports that its electronic …,https://www.breitbart.com/tech/2025/12/23/elons-stocking-stuffer-tesla-owners-are-buying-escape-tools-in-case-ev-doors-trap-them-in-a-crash/,en,2025-12-24 19:59:41.142006,Finance,Negative,Primary,Other,False
Tesla_25,Tesla,"‘When we got out of college, we had a job waiting for us’: 80-year-old boomer says her generation left behind a different economy for her grandkids",Fortune,2025-12-23 13:16:08+00:00,"""Now, people who have master's degrees are going to work fast food while they look for a real job,"" said Diane West, among the oldest in her generation.",https://fortune.com/2025/12/23/80-year-old-boomer-says-economy-worse-for-grandkids-affordability/,en,2025-12-24 19:59:41.142010,Technology,Neutral,Secondary,Other,False
Tesla_26,Tesla,Kia PV5 Cargo van review,AutoExpress,2025-12-23 13:13:49+00:00,"Kia’s first foray into the world of vans is a strong one, but the brand still has a few lessons to learn",https://www.autoexpress.co.uk/kia/pv5-cargo,en,2025-12-24 19:59:41.142013,Other,Negative,Secondary,Other,False
Tesla_27,Tesla,2025 Cupra Tavascan Endurance review,Drive.com.au,2025-12-23 13:00:00+00:00,"As more and more brands enter the medium SUV market with new-generation EVs, can Cupra hold its own in the ultra-competitive segment? Skip",https://www.drive.com.au/reviews/2025-cupra-tavascan-endurance-review/,en,2025-12-24 19:59:41.142016,Business,Neutral,Secondary,Other,False
Tesla_28,Tesla,"Novo Nordisk's new obesity pill, Alphabet's data center deal, the end of EV euphoria and more in Morning Squawk",CNBC,2025-12-23 12:46:45+00:00,Here are five key things investors need to know to start the trading day.,https://www.cnbc.com/2025/12/23/morning-squawk.html,en,2025-12-24 19:59:41.142019,Other,Positive,Secondary,Other,False
Tesla_29,Tesla,EV realism is here. How automakers react in 2026 will be telling,CNBC,2025-12-23 12:00:01+00:00,"Detroit automakers are refocusing on large gas-guzzling trucks and SUVs, and many have admitted that policies, not consumers, were driving the charge for EVs.",https://www.cnbc.com/2025/12/23/evs-gm-ford-hyundai-tesla.html,en,2025-12-24 19:59:41.142025,Other,Neutral,Secondary,Other,False
Tesla_30,Tesla,"Tesla price target raised by $69 at Canaccord, here's why",Thefly.com,2025-12-23 11:47:40+00:00,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id4261246/TSLA-Tesla-price-target-raised-by--at-Canaccord-heres-why,en,2025-12-24 19:59:41.142031,Technology,Neutral,Primary,Other,False
Tesla_31,Tesla,Alphabet secures $4.75 billion Intersect deal to make sure its data centers have enough energy,TechRadar,2025-12-23 11:20:00+00:00,"Google to buy out Intersect Power after offering financial backing in 2024, in a bid to help bolster its data center strategy.",https://www.techradar.com/pro/alphabet-secures-usd4-75-billion-intersect-deal-to-make-sure-its-data-centers-have-enough-energy,en,2025-12-24 19:59:41.142034,Other,Positive,Secondary,Other,False
Tesla_32,Tesla,"US stock futures jump today: Dow, S&P 500, Nasdaq turn green ahead of key economic data and holiday-thinned trading",The Times of India,2025-12-23 10:17:24+00:00,"US stock futures jump today as Dow futures, S&P 500 futures, and Nasdaq futures turn green early Tuesday. Investors position ahead of key economic data and holiday-thinned trading volumes. Dow futures hover near 48,700 while S&P 500 futures hold close to reco…",https://economictimes.indiatimes.com/news/international/us/us-stock-futures-jump-today-dow-sp-500-nasdaq-turn-green-ahead-of-key-economic-data-and-holiday-thinned-trading/articleshow/126139190.cms,en,2025-12-24 19:59:41.142038,Finance,Neutral,Secondary,Other,False
Tesla_33,Tesla,Show HN: A place to make predictions that are worth surviving in the simulation,Danilofiumi.com,2025-12-23 10:05:13+00:00,"A couple of weeks ago I was listening to a conversation with Elon Musk where he mentioned something that stuck with me.At Tesla, they don’t run every possible simulation. They focus on the ones that produce real signal. 
The branches that generate learning. T…",https://prediction.danilofiumi.com/,en,2025-12-24 19:59:41.142041,Other,Positive,Secondary,Other,False
Tesla_34,Tesla,"Slate's design chief explains why the startup built its electric truck without screens, stereos, or power windows",Business Insider,2025-12-23 09:02:01+00:00,Slate's head of design told Business Insider the startup aimed to capitalize on the backlash against digital controls and unwanted features.,https://www.businessinsider.com/slate-electric-truck-screens-stereos-power-windows-design-head-2025-12,en,2025-12-24 19:59:41.142044,Technology,Neutral,Secondary,Other,False
Tesla_35,Tesla,"Apple Reportedly Facing Production Shortages For Its A20 And A20 Pro, Despite Securing Nearly Half Of TSMC’s Initial 2nm Supply, But Samsung Isn’t Being Viewed As An Alternative",Wccftech,2025-12-23 08:12:46+00:00,"Next year, we will bear witness to Apple’s first 2nm chipsets, the A20 and A20 Pro, which are expected to be found in the iPhone 18 lineup and iPhone Fold, followed by the base iPhone 20 in early 2027. Given that the A-series of SoCs are estimated to be produ…",https://wccftech.com/apple-reportedly-experiencing-2nm-production-shortages-for-a20-pro/,en,2025-12-24 19:59:41.142046,Product,Negative,Secondary,Other,False
Tesla_36,Tesla,Truist Flags Autonomous Driving Volatility Despite Higher Tesla (TSLA) Price Target,Yahoo Entertainment,2025-12-23 07:53:04+00:00,"Tesla, Inc. (NASDAQ:TSLA) is one of the AI Stocks in the Spotlight for Investors. On December 19, Truist Securities raised its price target on the stock to $...",https://finance.yahoo.com/news/truist-flags-autonomous-driving-volatility-075304895.html,en,2025-12-24 19:59:41.142049,Technology,Neutral,Primary,Other,False
Tesla_37,Tesla,How to Instantly Add 40km Range to Your Electric Car This Winter,TalkAndroid,2025-12-23 07:30:00+00:00,"Let’s be honest: winter is brutal—to you, your toes, and your electric car. While you’re layering up and dreading the icy steering wheel, your EV is quietly",https://www.talkandroid.com/519464-how-to-instantly-add-40km-range-to-your-electric-car-this-winter/,en,2025-12-24 19:59:41.142052,Other,Neutral,Secondary,Other,False
Tesla_38,Tesla,Global investors turn to Chinese AI as Wall Street fears bubble,Yahoo Entertainment,2025-12-23 07:28:06+00:00,"Global investors are increasing their wagers on Chinese artificial intelligence companies, betting on the next DeepSeek and seeking to diversify, with...",https://finance.yahoo.com/news/analysis-global-investors-turn-chinese-072806140.html,en,2025-12-24 19:59:41.142055,Technology,Negative,Secondary,Other,False
Tesla_39,Tesla,India-origin finance chiefs are making a splash at global stage,The Times of India,2025-12-23 07:16:50+00:00,"As the CFO role continues to expand, global companies appear comfortable turning to leaders shaped by the discipline of Indian education, the complexity of emerging markets and the expectations of global governance. In an era of uncertainty, boards seem to va…",https://economictimes.indiatimes.com/news/company/corporate-trends/india-origin-finance-chiefs-are-making-a-splash-at-global-stage/articleshow/126135880.cms,en,2025-12-24 19:59:41.142058,Technology,Neutral,Secondary,Other,False
Tesla_40,Tesla,New car sales in Europe rise for 5th month helped by EVs,RTE,2025-12-23 07:06:42+00:00,"New car sales in Europe rose year-on-year in November for a fifth consecutive month, helped by an increase in electric vehicle registrations in markets including Germany, Italy and Spain, data from the European auto lobby ACEA showed today.",https://www.rte.ie/news/business/2025/1223/1550278-european-car-sales/,en,2025-12-24 19:59:41.142061,Technology,Neutral,Secondary,Other,False
Tesla_41,Tesla,China delays plans for mass production of self-driving cars after accident,The Star Online,2025-12-23 06:00:00+00:00,"After years of planning for cars that would let drivers take their hands off the wheel and eyes off the road, China's regulators have become more cautious. Read full story",https://www.thestar.com.my/tech/tech-news/2025/12/23/china-delays-plans-for-mass-production-of-self-driving-cars-after-accident,en,2025-12-24 19:59:41.142065,Product,Negative,Secondary,Other,False
Tesla_42,Tesla,Asian markets rally again as rate cut hopes bring Christmas cheer,Digital Journal,2025-12-23 05:22:32+00:00,"Equities extended a global rally Tuesday, while gold and silver hit fresh records as optimism for more US interest rate cuts and an easing of AI fears helped investors prepare for the festive break on a positive note. Data showing US unemployment rising and i…",https://www.digitaljournal.com/world/asian-markets-rally-again-as-rate-cut-hopes-bring-christmas-cheer/article,en,2025-12-24 19:59:41.142068,Technology,Positive,Secondary,Other,False
Tesla_43,Tesla,"Global South is now 1/3 of major EV Markets, Leaving US in the Dust",Juancole.com,2025-12-23 05:15:14+00:00,"The adoption of electric vehicles has spread  to the Global South and is no longer only a Chinese, European and American phenomenon.",https://www.juancole.com/2025/12/global-markets-leaving.html,en,2025-12-24 19:59:41.142071,Product,Neutral,Secondary,Other,False
Tesla_44,Tesla,Stock futures are little changed after S&P 500 notches three-day win streak: Live updates - CNBC,Slashdot.org,2025-12-23 05:12:35+00:00,"Stock futures are little changed after S&P 500 notches three-day win streak: Live updatesCNBC S&P 500 posts third-straight winning day, buoyed by AI trade: Live updatesCNBC Stock market today: Dow, S&P 500, Nasdaq rise for third straight day, gold hits record…",https://slashdot.org/firehose.pl?op=view&amp;id=180443021,en,2025-12-24 19:59:41.142257,Technology,Positive,Secondary,Other,False
Tesla_45,Tesla,2026 Proton Saga MC3 review – Executive A/T and Premium CVT tested with new 1.5L i-GT 4-cyl engine,Paul Tan's Automotive News,2025-12-23 05:03:25+00:00,"Comparison is the thief of joy, as they always say. The Proton Saga has been the prime example of this – as the national carmaker’s first car and its perpetual best-seller with over 2.1 million […]
The post 2026 Proton Saga MC3 review – Executive A/T and Prem…",https://paultan.org/2025/12/23/2026-proton-saga-mc3-review-executive-a-t-and-premium-cvt-tested-with-new-1-5l-i-gt-4-cyl-engine/,en,2025-12-24 19:59:41.142262,Other,Neutral,Secondary,Other,False
Tesla_46,Tesla,California regulator reviews Waymo stalls during San Francisco power outage,Business Insider,2025-12-23 05:02:10+00:00,The California Public Utilities Commission is looking into Waymo vehicles that stalled on Saturday during a San Francisco power outage.,https://www.businessinsider.com/california-regulator-waymo-power-outage-san-francisco-robotaxi-2025-12,en,2025-12-24 19:59:41.142265,Product,Neutral,Secondary,Other,False
Tesla_47,Tesla,MRI System Correction: Siemens Healthineers Issues Correction for 3 Tesla MRI Systems,FDA.gov,2025-12-23 05:00:00+00:00,Siemens Healthineers is correcting 3 Tesla MRI systems including MAGNETOM and BioGraph mMR due to the potential for ice blockage in the magnet venting system,https://www.fda.gov/medical-devices/medical-device-recalls-and-early-alerts/mri-system-correction-siemens-healthineers-issues-correction-3-tesla-mri-systems,en,2025-12-24 19:59:41.142269,Other,Neutral,Primary,Other,False
Tesla_48,Tesla,System Correction: IMPRIS Imaging Inc Issues Correction for IMRIS Neuro III-SV,FDA.gov,2025-12-23 05:00:00+00:00,IMPRIS corrects IMRIS Neuro III-SV models due to the potential of ice blockage in the helium venting pipe,https://www.fda.gov/medical-devices/medical-device-recalls-and-early-alerts/system-correction-impris-imaging-inc-issues-correction-imris-neuro-iii-sv,en,2025-12-24 19:59:41.142272,Product,Neutral,Secondary,Other,False
Tesla_49,Tesla,UAE and Dubai’s tech ambitions in focus as Sheikh Hamdan meets Elon Musk,ComputerWeekly.com,2025-12-23 04:38:00+00:00,"High-level talks highlight AI, space, digital infrastructure and the UAE’s push to become a global technology and innovation hub through partnerships and progressive regulation",https://www.computerweekly.com/news/366636548/UAE-and-Dubais-tech-ambitions-in-focus-as-Sheikh-Hamdan-meets-Elon-Musk,en,2025-12-24 19:59:41.142276,Technology,Neutral,Secondary,Other,False
Tesla_50,Tesla,"Dow Jones Futures: Nvidia Tests Key Level; AppLovin, Apple, Palantir, Tesla In Buy Zones - Investor's Business Daily",Slashdot.org,2025-12-23 04:13:37+00:00,"Dow Jones Futures: Nvidia Tests Key Level; AppLovin, Apple, Palantir, Tesla In Buy ZonesInvestor's Business Daily S&P 500 posts third-straight winning day, buoyed by AI trade: Live updatesCNBC Stock market today: Nasdaq, S&P 500, Dow rise as Wall Street count…",https://slashdot.org/firehose.pl?op=view&amp;id=180442759,en,2025-12-24 19:59:41.142279,Technology,Neutral,Primary,Other,False
Tesla_51,Tesla,"BlackRock pins Bitcoin ETF as major theme alongside T-bills, tech stocks",Cointelegraph,2025-12-23 03:00:42+00:00,"BlackRock’s IBIT Bitcoin ETF has featured on the $13.5 trillion asset manager's homepage, representing one of three major investment themes as the market heads into 2026.",https://cointelegraph.com/news/blackrock-bitcoin-etf-major-investment-theme-with-t-bills-tech-stocks,en,2025-12-24 19:59:41.142282,Finance,Neutral,Secondary,Other,False
Tesla_52,Tesla,Waymo restarts robotaxis after San Francisco power outage paralysed fleet,CNA,2025-12-23 02:47:17+00:00,"The company said its cars are programmed to treat non-functioning traffic lights as stop signs, but the scale of the outage caused vehicles to remain stopped longer than usual.",https://www.channelnewsasia.com/world/waymo-robotaxis-san-francisco-power-outage-autonomous-cars-5674066,en,2025-12-24 19:59:41.142285,Technology,Neutral,Secondary,Other,False
Tesla_53,Tesla,"Wall Street advances with broad gains, tech gains continue",The Times of India,2025-12-23 01:59:32+00:00,"Indian markets opened the holiday week on a strong note. Technology stocks led the rally, with Nvidia and Micron showing significant gains. This surge pushed major indices close to record highs. Investors are optimistic about AI, a strong economy, and potenti…",https://economictimes.indiatimes.com/markets/us-stocks/news/wall-street-advances-with-broad-gains-tech-gains-continue/articleshow/126131711.cms,en,2025-12-24 19:59:41.142288,Technology,Positive,Secondary,Other,False
Tesla_54,Tesla,Report: SoftBank scrambles to find $22.5B for OpenAI before the end of the year,SiliconANGLE News,2025-12-23 01:40:21+00:00,SoftBank Group Corp. needs to come up with $22.5 billion by the end of the year to make good on a commitment to its artificial intelligence partner OpenAI Group PBC. Reuters said in an exclusive report that SoftBank Chief Executive Masayoshi Son has a number …,https://siliconangle.com/2025/12/22/report-softbank-scrambles-find-22-5b-openai-end-year/,en,2025-12-24 19:59:41.142291,Technology,Neutral,Secondary,Other,False
Tesla_55,Tesla,"Asian stocks rise, extending record global rally",The Times of India,2025-12-23 01:03:32+00:00,"Asian stocks advanced for a second day, mirroring Wall Street's bullish momentum and signaling a year-end rally. The MSCI Asia Pacific index rose, with Japan's Topix also climbing. This positive sentiment, driven by technical factors and stimulus optimism, is…",https://economictimes.indiatimes.com/markets/stocks/news/asian-stocks-rise-extending-record-global-rally/articleshow/126131456.cms,en,2025-12-24 19:59:41.142293,Finance,Neutral,Secondary,Other,False
Tesla_56,Tesla,Waymo Robotaxis Stall and Snarl San Francisco Traffic After Massive Blackout,Legalinsurrection.com,2025-12-23 00:30:18+00:00,"San Francisco was plunged into darkness when nearly 30 percent of the city was struck by a power outage that appears to be the result of a substation fire.
The post Waymo Robotaxis Stall and Snarl San Francisco Traffic After Massive Blackout first appeared on…",https://legalinsurrection.com/2025/12/waymo-robotaxis-stall-and-snarl-san-francisco-traffic-after-massive-blackout/,en,2025-12-24 19:59:41.142295,Technology,Negative,Secondary,Other,False
Tesla_57,Tesla,Bank denies allegations it gave bad advice to Tesla investor who lost $415 million,CBC News,2025-12-22 23:33:09+00:00,"A carpenter from Sooke, B.C., claims he turned $88,000 into $415 million trading Tesla stock options but lost it all because of ""inadequate advice"" from the bank.",https://www.cbc.ca/news/canada/british-columbia/rbc-bank-tesla-investor-advice-9.7025751,en,2025-12-24 19:59:41.142297,Technology,Negative,Primary,Other,False
Tesla_58,Tesla,15 People Have Died in Crashes Where Tesla Doors Wouldn’t Open - Bloomberg.com,Slashdot.org,2025-12-22 23:12:59+00:00,15 People Have Died in Crashes Where Tesla Doors Wouldn’t OpenBloomberg.com They survived a Cybertruck crash. An inferno led to a race against time.The Washington Post Elon Musk Demanded Tesla’s Electric Doors Despite Safety WorriesBloomberg.com Report Focuse…,https://slashdot.org/firehose.pl?op=view&amp;id=180441403,en,2025-12-24 19:59:41.142299,Technology,Negative,Primary,Other,False
Tesla_59,Tesla,Harvest ETFs Announces Revised Estimated Annual 2025 Reinvested Harvest High Income Shares ETFs Distributions,Financial Post,2025-12-22 23:03:53+00:00,"OAKVILLE, Ontario — Harvest Portfolios Group Inc. (“Harvest”) announces the estimated annual reinvested distributions for Harvest High Income Shares ETFs TM that are exchange traded mutual fund trusts for the 2025 tax year. Harvest High Income Shares ETFs TM …",https://financialpost.com/pmn/business-wire-news-releases-pmn/harvest-etfs-announces-revised-estimated-annual-2025-reinvested-harvest-high-income-shares-etfs-distributions,en,2025-12-24 19:59:41.142301,Finance,Positive,Secondary,Other,False
